timestamp,predictionRFC_Indoor,predictionRFC_Outdoor,predictionLSTM_Indoor,predictionLSTM_Outdoor
2024-06-21 17:22:32,0.5,0.5,0.14437084,0.85562915
2024-06-21 17:22:33,0.3,0.7,0.26942328,0.73057675
2024-06-21 17:22:35,0.54,0.46,0.43321022,0.56678975
2024-06-21 17:22:36,0.52,0.48,0.4762164,0.5237835
2024-06-21 17:22:38,0.55,0.45,0.19774877,0.8022513
2024-06-21 17:22:39,0.58,0.42,0.3877011,0.6122989
2024-06-21 17:22:41,0.76,0.24,0.75463814,0.24536185
2024-06-21 17:22:42,0.68,0.32,0.94199663,0.058003325
2024-06-21 17:22:44,0.79,0.21,0.9849829,0.015017132
2024-06-21 17:22:45,0.78,0.22,0.9924114,0.007588624
2024-06-21 17:22:47,0.92,0.08,0.99704224,0.0029577932
2024-06-21 17:22:48,0.98,0.02,0.99787545,0.0021245708
