timestamp,predictionRFC_Indoor,predictionRFC_Outdoor,predictionLSTM_Indoor,predictionLSTM_Outdoor
2024-06-21 17:23:57,0.33,0.67,0.06700664,0.9329934
2024-06-21 17:23:58,0.28,0.72,0.014962968,0.985037
2024-06-21 17:23:59,0.25,0.75,0.020484073,0.97951597
2024-06-21 17:24:01,0.24,0.76,0.021978071,0.978022
2024-06-21 17:24:02,0.15,0.85,0.03560347,0.9643965
2024-06-21 17:24:04,0.18,0.82,0.07410253,0.9258975
2024-06-21 17:24:05,0.45,0.55,0.23706478,0.76293516
2024-06-21 17:24:07,0.7,0.3,0.78752047,0.21247958
2024-06-21 17:24:08,0.82,0.18,0.9322364,0.06776361
2024-06-21 17:24:09,0.92,0.08,0.9613776,0.0386224
