"",feature,importance
21,satellite_cn0_median,0.115327
17,minCn0Wifi,0.091693
7,nrSatellitesInView,0.089214
20,GPS_counts,0.086804
11,maxCn0GPS,0.082781
24,satellite_cn0_range,0.078529
23,satellite_cn0_std,0.072667
9,minCn0GPS,0.067219
10,meanCn0GPS,0.061090
22,satellite_cn0_mode,0.040000
3,hAccuracyGPS,0.036256
6,speedAccuracyGPS,0.033463
8,nrSatellitesInFix,0.031605
0,cellStrength,0.024403
4,vAccuracyGPS,0.014923
30,wifi_rssi_mode,0.012238
18,meanCn0Wifi,0.011387
19,maxCn0Wifi,0.007852
5,bAccuracyGPS,0.007292
29,wifi_rssi_median,0.006959
16,nrWifiDevices,0.005333
32,wifi_rssi_range,0.005069
12,nrBlDevices,0.004192
26,bluetooth_rssi_mode,0.003714
2,vAccuracyNetwork,0.002708
14,meanCn0Bl,0.002286
31,wifi_rssi_std,0.001857
1,hAccuracyNetwork,0.001711
13,minCn0Bl,0.001429
15,maxCn0Bl,0.000000
25,bluetooth_rssi_median,0.000000
27,bluetooth_rssi_std,0.000000
28,bluetooth_rssi_range,0.000000
