"",feature,importance
11,maxCn0GPS,0.114162
21,satellite_cn0_median,0.101738
7,nrSatellitesInView,0.095682
24,satellite_cn0_range,0.088482
20,GPS_counts,0.082902
23,satellite_cn0_std,0.081474
10,meanCn0GPS,0.069247
9,minCn0GPS,0.064385
3,hAccuracyGPS,0.056153
6,speedAccuracyGPS,0.053300
22,satellite_cn0_mode,0.051346
8,nrSatellitesInFix,0.032423
4,vAccuracyGPS,0.027404
17,minCn0Wifi,0.023302
5,bAccuracyGPS,0.021913
14,meanCn0Bl,0.011802
26,bluetooth_rssi_mode,0.006412
0,cellStrength,0.005466
29,wifi_rssi_median,0.004716
16,nrWifiDevices,0.003903
28,bluetooth_rssi_range,0.001400
15,maxCn0Bl,0.001313
32,wifi_rssi_range,0.001077
19,maxCn0Wifi,0.000000
18,meanCn0Wifi,0.000000
1,hAccuracyNetwork,0.0
13,minCn0Bl,0.0
25,bluetooth_rssi_median,0.0
12,nrBlDevices,0.0
27,bluetooth_rssi_std,0.0
2,vAccuracyNetwork,0.0
30,wifi_rssi_mode,0.0
31,wifi_rssi_std,0.0
