label;cellStrength;cellType;timeStampNetwork;hAccuracyNetwork;vAccuracyNetwork;bAccuracyNetwork;speedAccuracyNetwork;networkLocationType;timeStampGPS;hAccuracyGPS;vAccuracyGPS;bAccuracyGPS;speedAccuracyGPS;nrSatellitesInView;nrSatellitesInFix;minCn0GPS;meanCn0GPS;maxCn0GPS;satellites;nrBlDevices;minCn0Bl;meanCn0Bl;maxCn0Bl;bluetoothDevices;nrWifiDevices;minCn0Wifi;meanCn0Wifi;maxCn0Wifi;wifiDevices
Indoor;4;LTE;N/A;0.0;0.0;0.0;0.0;N/A;22:48:04;5.1;63.2;62.0;3.1;53; 6.0;21.3;30.0;39.0;[{"constellation":"GPS","svid":3,"cn0":36},{"constellation":"GLONASS","svid":12,"cn0":32.7},{"constellation":"GPS","svid":31,"cn0":31.8},{"constellation":"BEIDOU","svid":28,"cn0":27.3},{"constellation":"GPS","svid":4,"cn0":26.8},{"constellation":"GPS","svid":6,"cn0":26.7},{"constellation":"GLONASS","svid":2,"cn0":21.3}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:06;5.0;65.1;64.6;2.2;53; 8.0;23.1;28.0;37.0;[{"constellation":"GLONASS","svid":12,"cn0":40.3},{"constellation":"GPS","svid":3,"cn0":34.3},{"constellation":"GPS","svid":31,"cn0":33.8},{"constellation":"BEIDOU","svid":28,"cn0":31.8},{"constellation":"GPS","svid":6,"cn0":28.9},{"constellation":"GLONASS","svid":4,"cn0":27.7},{"constellation":"GLONASS","svid":2,"cn0":27.7},{"constellation":"GPS","svid":4,"cn0":26.8},{"constellation":"GPS","svid":9,"cn0":25.1},{"constellation":"GPS","svid":2,"cn0":23.1}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:08;4.9;62.2;92.3;1.7;53; 11.0;23.7;28.0;40.0;[{"constellation":"GLONASS","svid":12,"cn0":40.4},{"constellation":"GPS","svid":31,"cn0":35.7},{"constellation":"GPS","svid":3,"cn0":33.3},{"constellation":"GPS","svid":19,"cn0":32.8},{"constellation":"BEIDOU","svid":28,"cn0":31.8},{"constellation":"GLONASS","svid":2,"cn0":31.5},{"constellation":"GPS","svid":6,"cn0":28.8},{"constellation":"GLONASS","svid":4,"cn0":28.8},{"constellation":"GPS","svid":4,"cn0":26.6},{"constellation":"GPS","svid":2,"cn0":24.9},{"constellation":"GPS","svid":17,"cn0":24.8},{"constellation":"GPS","svid":9,"cn0":23.7}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:10;4.4;41.4;60.4;1.3;53; 12.0;23.4;30.0;40.0;[{"constellation":"GLONASS","svid":12,"cn0":40.5},{"constellation":"GPS","svid":31,"cn0":35.2},{"constellation":"GPS","svid":3,"cn0":35.1},{"constellation":"GPS","svid":19,"cn0":33.2},{"constellation":"GLONASS","svid":2,"cn0":32.6},{"constellation":"GPS","svid":6,"cn0":32.1},{"constellation":"BEIDOU","svid":28,"cn0":31.8},{"constellation":"GLONASS","svid":4,"cn0":29.8},{"constellation":"GPS","svid":9,"cn0":26.9},{"constellation":"GPS","svid":4,"cn0":26.4},{"constellation":"GPS","svid":2,"cn0":26.1},{"constellation":"GPS","svid":17,"cn0":23.4}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:12;4.3;37.8;63.7;1.1;53; 12.0;23.3;30.0;40.0;[{"constellation":"GLONASS","svid":12,"cn0":40.6},{"constellation":"GPS","svid":31,"cn0":34.9},{"constellation":"GLONASS","svid":2,"cn0":34.4},{"constellation":"GPS","svid":3,"cn0":34},{"constellation":"GPS","svid":6,"cn0":32.6},{"constellation":"GPS","svid":19,"cn0":31.9},{"constellation":"BEIDOU","svid":28,"cn0":31.6},{"constellation":"GLONASS","svid":4,"cn0":29.9},{"constellation":"GPS","svid":9,"cn0":26.8},{"constellation":"GPS","svid":2,"cn0":25.4},{"constellation":"GPS","svid":4,"cn0":23.6},{"constellation":"GPS","svid":17,"cn0":23.3}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:15;3.9;38.4;126.8;1.3;53; 11.0;15.7;30.0;40.0;[{"constellation":"GLONASS","svid":12,"cn0":40.8},{"constellation":"GPS","svid":31,"cn0":34.7},{"constellation":"GLONASS","svid":2,"cn0":33.4},{"constellation":"GPS","svid":3,"cn0":32.9},{"constellation":"GPS","svid":6,"cn0":31.7},{"constellation":"BEIDOU","svid":28,"cn0":31.3},{"constellation":"GLONASS","svid":4,"cn0":30},{"constellation":"GPS","svid":9,"cn0":26.8},{"constellation":"GPS","svid":19,"cn0":26.7},{"constellation":"GPS","svid":2,"cn0":25.3},{"constellation":"GPS","svid":4,"cn0":23.5},{"constellation":"GLONASS","svid":18,"cn0":23},{"constellation":"GPS","svid":28,"cn0":15.7}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;4;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:19;3.5;46.9;121.9;1.0;53; 18.0;18.0;27.0;41.0;[{"constellation":"GLONASS","svid":12,"cn0":41},{"constellation":"GPS","svid":31,"cn0":35.7},{"constellation":"GLONASS","svid":2,"cn0":33.5},{"constellation":"GPS","svid":3,"cn0":32.5},{"constellation":"GALILEO","svid":11,"cn0":32},{"constellation":"GPS","svid":6,"cn0":31.9},{"constellation":"GLONASS","svid":4,"cn0":31},{"constellation":"BEIDOU","svid":28,"cn0":28.3},{"constellation":"GPS","svid":19,"cn0":26.9},{"constellation":"BEIDOU","svid":26,"cn0":26.8},{"constellation":"GPS","svid":9,"cn0":26.6},{"constellation":"GPS","svid":2,"cn0":25},{"constellation":"GPS","svid":4,"cn0":23.5},{"constellation":"GPS","svid":17,"cn0":21.3},{"constellation":"GLONASS","svid":3,"cn0":21.2},{"constellation":"GLONASS","svid":18,"cn0":21.2},{"constellation":"BEIDOU","svid":33,"cn0":18.6},{"constellation":"GPS","svid":28,"cn0":18}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;3;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:21;3.4;45.6;137.2;1.0;53; 20.0;15.4;25.0;41.0;[{"constellation":"GLONASS","svid":12,"cn0":41.1},{"constellation":"GPS","svid":31,"cn0":35.5},{"constellation":"GPS","svid":6,"cn0":33.2},{"constellation":"GLONASS","svid":2,"cn0":32.8},{"constellation":"GPS","svid":3,"cn0":32.4},{"constellation":"GALILEO","svid":11,"cn0":32.3},{"constellation":"GLONASS","svid":4,"cn0":28.8},{"constellation":"BEIDOU","svid":28,"cn0":28},{"constellation":"GPS","svid":9,"cn0":26.3},{"constellation":"GPS","svid":19,"cn0":25.9},{"constellation":"BEIDOU","svid":26,"cn0":24.1},{"constellation":"GPS","svid":4,"cn0":23.3},{"constellation":"BEIDOU","svid":9,"cn0":22.5},{"constellation":"GLONASS","svid":18,"cn0":21.7},{"constellation":"GPS","svid":17,"cn0":21.6},{"constellation":"GLONASS","svid":3,"cn0":21.6},{"constellation":"GPS","svid":2,"cn0":21.1},{"constellation":"BEIDOU","svid":33,"cn0":19.7},{"constellation":"BEIDOU","svid":11,"cn0":18},{"constellation":"GPS","svid":28,"cn0":15.4}];0;0;0.0;-100.0;[];16;-96;-82.5625;-66;[{"SSID":"LiwestD7FD-5G","level":-92},{"SSID":"ARRIS-9CC2","level":-66},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-82},{"SSID":"Mally","level":-91},{"SSID":"Veritas-Hofinger","level":-78},{"SSID":"LiwestBFD5","level":-66},{"SSID":"LiwestBFD5-5G","level":-80},{"SSID":"Logistik","level":-93},{"SSID":"Kaffeeladen-5G","level":-85},{"SSID":"Niclas-Webcube","level":-71},{"SSID":"ROX Guest","level":-96},{"SSID":"A1-39271612","level":-68},{"SSID":"PreisChecker","level":-92},{"SSID":"ROX5G","level":-92},{"SSID":"","level":-78}]
Indoor;3;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:23;3.4;46.5;179.9;0.9;53; 20.0;15.6;25.0;41.0;[{"constellation":"GLONASS","svid":12,"cn0":41.2},{"constellation":"GPS","svid":31,"cn0":35.3},{"constellation":"GLONASS","svid":2,"cn0":33.5},{"constellation":"GPS","svid":3,"cn0":33.1},{"constellation":"GALILEO","svid":11,"cn0":32.3},{"constellation":"GPS","svid":6,"cn0":31.7},{"constellation":"GLONASS","svid":4,"cn0":30.3},{"constellation":"GPS","svid":9,"cn0":26.1},{"constellation":"BEIDOU","svid":28,"cn0":24.7},{"constellation":"BEIDOU","svid":26,"cn0":23.8},{"constellation":"BEIDOU","svid":9,"cn0":23.3},{"constellation":"GPS","svid":4,"cn0":23.2},{"constellation":"GPS","svid":17,"cn0":21.6},{"constellation":"GLONASS","svid":18,"cn0":21.6},{"constellation":"GLONASS","svid":3,"cn0":21.4},{"constellation":"GPS","svid":2,"cn0":21.1},{"constellation":"BEIDOU","svid":33,"cn0":20.8},{"constellation":"BEIDOU","svid":11,"cn0":18},{"constellation":"GPS","svid":19,"cn0":17},{"constellation":"GPS","svid":28,"cn0":15.6}];0;0;0.0;-100.0;[];28;-94;-85.35714;-65;[{"SSID":"ARRIS-9CC2","level":-65},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-84},{"SSID":"Junge Digitale Graben 33 5G","level":-92},{"SSID":"Mally","level":-85},{"SSID":"A1-AD1C88","level":-81},{"SSID":"","level":-93},{"SSID":"LiwestBFD5","level":-69},{"SSID":"LiwestBFD5-5G","level":-82},{"SSID":"W-L-A-N-5G-NEU","level":-92},{"SSID":"Logistik","level":-91},{"SSID":"Liwest_e434-5G","level":-87},{"SSID":"DIRECT-64-HP Laser 107w","level":-73},{"SSID":"LiwestF9D5-5G","level":-92},{"SSID":"Kaffeeladen","level":-80},{"SSID":"Kaffeeladen-5G","level":-84},{"SSID":"Niclas-Webcube","level":-75},{"SSID":"","level":-92},{"SSID":"","level":-91},{"SSID":"Wertsecure_WAC","level":-94},{"SSID":"A1-3923CFB2","level":-93},{"SSID":"N8Dlr8vQa0P9","level":-82},{"SSID":"","level":-92},{"SSID":"A1-39271612","level":-73},{"SSID":"Mally","level":-88},{"SSID":"PreisChecker","level":-91},{"SSID":"","level":-92},{"SSID":"M4air2-nova","level":-86}]
Indoor;3;LTE;22:48:06;20.9;1.241351;0.0;0.0;N/A;22:48:25;3.3;46.7;179.9;0.9;53; 18.0;15.5;25.0;41.0;[{"constellation":"GLONASS","svid":12,"cn0":41.3},{"constellation":"GPS","svid":31,"cn0":35.2},{"constellation":"GLONASS","svid":2,"cn0":33.4},{"constellation":"GALILEO","svid":11,"cn0":32.3},{"constellation":"GPS","svid":3,"cn0":31.6},{"constellation":"GPS","svid":6,"cn0":31.5},{"constellation":"GLONASS","svid":4,"cn0":30.1},{"constellation":"BEIDOU","svid":26,"cn0":23.9},{"constellation":"GPS","svid":9,"cn0":23.5},{"constellation":"BEIDOU","svid":9,"cn0":23.5},{"constellation":"GPS","svid":4,"cn0":23},{"constellation":"BEIDOU","svid":28,"cn0":22.2},{"constellation":"GPS","svid":17,"cn0":21.6},{"constellation":"GLONASS","svid":18,"cn0":21.5},{"constellation":"GPS","svid":2,"cn0":21.1},{"constellation":"BEIDOU","svid":33,"cn0":20.8},{"constellation":"BEIDOU","svid":11,"cn0":17.1},{"constellation":"GPS","svid":28,"cn0":15.5}];0;0;0.0;-100.0;[];28;-94;-85.35714;-65;[{"SSID":"ARRIS-9CC2","level":-65},{"SSID":"ePOS","level":-91},{"SSID":"ARRIS-9CC2-5G","level":-84},{"SSID":"Junge Digitale Graben 33 5G","level":-92},{"SSID":"Mally","level":-85},{"SSID":"A1-AD1C88","level":-81},{"SSID":"","level":-93},{"SSID":"LiwestBFD5","level":-69},{"SSID":"LiwestBFD5-5G","level":-82},{"SSID":"W-L-A-N-5G-NEU","level":-92},{"SSID":"Logistik","level":-91},{"SSID":"Liwest_e434-5G","level":-87},{"SSID":"DIRECT-64-HP Laser 107w","level":-73},{"SSID":"LiwestF9D5-5G","level":-92},{"SSID":"Kaffeeladen","level":-80},{"SSID":"Kaffeeladen-5G","level":-84},{"SSID":"Niclas-Webcube","level":-75},{"SSID":"","level":-92},{"SSID":"","level":-91},{"SSID":"Wertsecure_WAC","level":-94},{"SSID":"A1-3923CFB2","level":-93},{"SSID":"N8Dlr8vQa0P9","level":-82},{"SSID":"","level":-92},{"SSID":"A1-39271612","level":-73},{"SSID":"Mally","level":-88},{"SSID":"PreisChecker","level":-91},{"SSID":"","level":-92},{"SSID":"M4air2-nova","level":-86}]
